iso3c,region_unfccc,region_sr
FRA,Western Europe and Other,Western Europe and North America
GAB,Africa,Africa
GBR,Western Europe and Other,Western Europe and North America
GEO,Eastern Europe,Eastern Europe
GHA,Africa,Africa
GIN,Africa,Africa
GMB,Africa,Africa
GNB,Africa,Africa
GNQ,Africa,Africa
GRC,Western Europe and Other,Western Europe and North America
GRD,Latin America & Caribbean,Latin America and Caribbean
GTM,Latin America & Caribbean,Latin America and Caribbean
GUY,Latin America & Caribbean,Latin America and Caribbean
HND,Latin America & Caribbean,Latin America and Caribbean
HRV,Eastern Europe,Eastern Europe
HTI,Latin America & Caribbean,Latin America and Caribbean
HUN,Eastern Europe,Eastern Europe
IDN,Asia-Pacific,Asia-Pacific
IND,Asia-Pacific,South Asia
IRL,Western Europe and Other,Western Europe and North America
IRN,Asia-Pacific,Middle East and Central Asia
IRQ,Asia-Pacific,Middle East and Central Asia
ISL,Western Europe and Other,Western Europe and North America
ISR,Western Europe and Other,Middle East and Central Asia
ITA,Western Europe and Other,Western Europe and North America
JAM,Latin America & Caribbean,Latin America and Caribbean
JOR,Asia-Pacific,Middle East and Central Asia
JPN,Asia-Pacific,Asia-Pacific
KAZ,Asia-Pacific,Middle East and Central Asia
KEN,Africa,Africa
KGZ,Asia-Pacific,Middle East and Central Asia
KHM,Asia-Pacific,Asia-Pacific
KIR,Asia-Pacific,Asia-Pacific
KNA,Latin America & Caribbean,Latin America and Caribbean
KOR,Asia-Pacific,Asia-Pacific
KWT,Asia-Pacific,Middle East and Central Asia
LAO,Asia-Pacific,Asia-Pacific
LBN,Asia-Pacific,Middle East and Central Asia
LBR,Africa,Africa
LBY,Africa,Africa
LCA,Latin America & Caribbean,Latin America and Caribbean
LIE,Western Europe and Other,Western Europe and North America
LKA,Asia-Pacific,South Asia
LSO,Africa,Africa
LTU,Eastern Europe,Eastern Europe
LUX,Western Europe and Other,Western Europe and North America
LVA,Eastern Europe,Eastern Europe
MAR,Africa,Africa
MDA,Eastern Europe,Eastern Europe
MDG,Africa,Africa
MDV,Asia-Pacific,Asia-Pacific
MEX,Latin America & Caribbean,Latin America and Caribbean
MKD,Eastern Europe,Eastern Europe
MLI,Africa,Africa
MLT,Western Europe and Other,Western Europe and North America
MMR,Asia-Pacific,Asia-Pacific
MNE,Eastern Europe,Eastern Europe
MNG,Asia-Pacific,Asia-Pacific
MOZ,Africa,Africa
MRT,Africa,Africa
MUS,Africa,Africa
MWI,Africa,Africa
MYS,Asia-Pacific,Asia-Pacific
NAM,Africa,Africa
NER,Africa,Africa
NGA,Africa,Africa
NIC,Latin America & Caribbean,Latin America and Caribbean
NLD,Western Europe and Other,Western Europe and North America
NOR,Western Europe and Other,Western Europe and North America
NPL,Asia-Pacific,South Asia
NZL,Western Europe and Other,Asia-Pacific
OMN,Asia-Pacific,Middle East and Central Asia
PAK,Asia-Pacific,South Asia
PAN,Latin America & Caribbean,Latin America and Caribbean
PER,Latin America & Caribbean,Latin America and Caribbean
PHL,Asia-Pacific,Asia-Pacific
PLW,Asia-Pacific,Asia-Pacific
PNG,Asia-Pacific,Asia-Pacific
POL,Eastern Europe,Eastern Europe
PRK,Asia-Pacific,Asia-Pacific
PRT,Western Europe and Other,Western Europe and North America
PRY,Latin America & Caribbean,Latin America and Caribbean
QAT,Asia-Pacific,Middle East and Central Asia
ROU,Eastern Europe,Eastern Europe
RUS,Eastern Europe,Eastern Europe
RWA,Africa,Africa
SAU,Asia-Pacific,Middle East and Central Asia
SDN,Africa,Africa
SEN,Africa,Africa
SGP,Asia-Pacific,Asia-Pacific
SLB,Asia-Pacific,Asia-Pacific
SLE,Africa,Africa
SLV,Latin America & Caribbean,Latin America and Caribbean
SOM,Africa,Africa
SRB,Eastern Europe,Eastern Europe
SSD,Africa,Africa
STP,Africa,Africa
SUR,Latin America & Caribbean,Latin America and Caribbean
SVK,Eastern Europe,Eastern Europe
SVN,Eastern Europe,Eastern Europe
SWE,Western Europe and Other,Western Europe and North America
SWZ,Africa,Africa
SYC,Africa,Africa
SYR,Asia-Pacific,Middle East and Central Asia
TCD,Africa,Africa
TGO,Africa,Africa
THA,Asia-Pacific,Asia-Pacific
TJK,Asia-Pacific,Middle East and Central Asia
TKM,Asia-Pacific,Middle East and Central Asia
TLS,Asia-Pacific,Asia-Pacific
TON,Asia-Pacific,Asia-Pacific
TTO,Latin America & Caribbean,Latin America and Caribbean
TUN,Africa,Africa
TUR,Western Europe and Other,Eastern Europe
TZA,Africa,Africa
UGA,Africa,Africa
UKR,Eastern Europe,Eastern Europe
URY,Latin America & Caribbean,Latin America and Caribbean
USA,Western Europe and Other,Western Europe and North America
UZB,Asia-Pacific,Middle East and Central Asia
VCT,Latin America & Caribbean,Latin America and Caribbean
VEN,Latin America & Caribbean,Latin America and Caribbean
VNM,Asia-Pacific,Asia-Pacific
VUT,Asia-Pacific,Asia-Pacific
WSM,Asia-Pacific,Asia-Pacific
YEM,Asia-Pacific,Middle East and Central Asia
ZAF,Africa,Africa
ZMB,Africa,Africa
ZWE,Africa,Africa
FSM,Asia-Pacific,Asia-Pacific
MHL,Asia-Pacific,Asia-Pacific
NRU,Asia-Pacific,Asia-Pacific
TUV,Asia-Pacific,Asia-Pacific
